Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NGA75	LA50	LGA50	LGA75
hifiasm_hifi_SRR34390379	162	162	162	162	121	26	57801716	57801716	57801716	57801716	56917073	53662626	162	4963576	57801716	39822884	47.54	48.83	3713043	4100706	2349902	3331570	7	5	12	8	10264	27	53090606	12399	0	0	135	0 + 162 part	25378093	72.631	1.291	0.00	2367.05	156.68	119480	32148460	801	5280	620	6383	1390	7754
hifiasm_hifi_SRR34390379_corrected	162	162	162	162	121	26	57788712	57788712	57788712	57788712	56904437	53652365	162	4962671	57788712	39822884	47.57	48.83	3711849	4100071	2349775	3330951	7	5	12	8	10973	34	53566274	12173	0	0	128	0 + 162 part	24029156	75.491	1.293	0.00	1828.43	142.30	118914	33450384	1053	5936	860	5352	1318	6372
