Assembly	correctred	cor_scaffolded	cor_scaf_samba
# fully unaligned contigs	133	132	132
Fully unaligned length	4646939	4603519	4603519
# partially unaligned contigs	29	29	29
Partially unaligned length	52829064	52829064	52829064
# N's	0	0	0
