0	gi-6:368134..368240_LTR
0	gi-6:375979..376085_LTR
0	gi-71:3095149..3095043_LTR
0	gi-71:3101351..3101245_LTR
0	gi-6:720072..719590_LTR
0	gi-6:726801..726319_LTR
0	gi-143:2296077..2295594_LTR
0	gi-143:2309936..2309453_LTR
0	gi-10:1707354..1707835_LTR
0	gi-10:1714092..1714573_LTR
0	gi-88:824557..824076_LTR
0	gi-88:833132..832651_LTR
0	gi-108:4308128..4307651_LTR
0	gi-108:4314846..4314369_LTR
0	gi-108:1566184..1566665_LTR
0	gi-108:1572920..1573400_LTR
0	gi-126:1711880..1711398_LTR
0	gi-89:504214..504695_LTR
0	gi-89:510950..511431_LTR
0	gi-126:1705142..1704661_LTR
0	gi-71:1594979..1594498_LTR
0	gi-71:1601704..1601222_LTR
0	gi-140:108422..121256_INT
0	gi-24:268368..281371_INT
0	gi-23:1957500..1957981_LTR
0	gi-23:1964238..1964719_LTR
0	gi-26:2011350..2010869_LTR
0	gi-26:2018087..2017606_LTR
0	gi-74:4113336..4112857_LTR
0	gi-74:4120065..4119585_LTR
0	gi-126:1057872..1058353_LTR
0	gi-126:1064605..1065086_LTR
0	gi-24:464491..464009_LTR
0	gi-24:471236..470754_LTR
0	gi-26:911895..912376_LTR
0	gi-26:918632..919113_LTR
0	gi-71:1721118..1721599_LTR
0	gi-71:1727856..1728336_LTR
0	gi-24:3370851..3371333_LTR
0	gi-24:3377575..3378057_LTR
0	gi-33:1959714..1959233_LTR
0	gi-33:1966451..1965970_LTR
0	gi-71:527079..527562_LTR
0	gi-71:533827..534309_LTR
0	gi-108:4919124..4919608_LTR
0	gi-108:4925862..4926345_LTR
0	gi-33:2670643..2671126_LTR
0	gi-33:2677374..2677858_LTR
0	gi-108:1054343..1053860_LTR
0	gi-108:1061081..1060598_LTR
0	gi-143:4130222..4143696_INT
0	gi-143:4129738..4130221_LTR
0	gi-143:4143697..4144180_LTR
0	gi-88:870485..870969_LTR
0	gi-88:881633..882117_LTR
0	gi-26:1612172..1612602_LTR
0	gi-26:1618901..1619331_LTR
0	gi-26:1848187..1848670_LTR
0	gi-26:1854932..1855416_LTR
0	gi-24:3263518..3264004_LTR
0	gi-24:3271409..3271895_LTR
0	gi-143:266260..266745_LTR
0	gi-143:273003..273488_LTR
0	gi-94:1200553..1201036_LTR
0	gi-94:1207901..1208384_LTR
0	gi-126:807079..807565_LTR
0	gi-126:814477..814963_LTR
0	gi-108:1212098..1225616_INT
0	gi-128:66721..67206_LTR
0	gi-128:73457..73942_LTR
0	gi-6:726318..720073_INT
0	gi-26:2017605..2011351_INT
0	gi-71:1721600..1727855_INT
0	gi-108:4314368..4308129_INT
0	gi-33:2671127..2677373_INT
0	gi-24:470753..464492_INT
0	gi-26:912377..918631_INT
0	gi-74:4119584..4113337_INT
0	gi-33:1965969..1959715_INT
0	gi-71:1601221..1594980_INT
0	gi-88:832650..824558_INT
0	gi-94:1201037..1207900_INT
0	gi-126:1711397..1705143_INT
0	gi-108:1566666..1572919_INT
0	gi-89:504696..510949_INT
0	gi-126:1058354..1064604_INT
0	gi-71:527563..533826_INT
0	gi-23:1957982..1964237_INT
0	gi-10:1707836..1714091_INT
0	gi-24:3371334..3377574_INT
0	gi-108:1060597..1054344_INT
0	gi-108:4919609..4925861_INT
0	gi-26:1848671..1854931_INT
0	gi-88:870970..881632_INT
0	gi-26:1612603..1618900_INT
0	gi-126:807566..814476_INT
0	gi-10:181797..176166_INT
0	gi-23:1085069..1079420_INT
0	gi-143:2027232..2032872_INT
0	gi-143:2100697..2106338_INT
0	gi-88:2786264..2791913_INT
0	gi-89:328725..323070_INT
0	gi-108:3357491..3351842_INT
0	gi-140:1836538..1842878_INT
0	gi-128:407766..400359_INT
0	gi-24:1469829..1475475_INT
0	gi-89:156732..162369_INT
0	gi-143:3723303..3728950_INT
0	gi-126:821867..827520_INT
0	gi-24:1989529..1996470_INT
0	gi-26:1761370..1767010_INT
0	gi-143:651123..656765_INT
0	gi-108:3303327..3308970_INT
0	gi-24:3638277..3644494_INT
0	gi-140:259429..263029_INT
0	gi-24:144770..139121_INT
0	gi-126:455007..449356_INT
0	gi-88:2520802..2515167_INT
0	gi-89:131947..138210_INT
0	gi-89:49764..55412_INT
0	gi-128:1880107..1873962_INT
0	gi-24:1544381..1538735_INT
0	gi-88:2084159..2078505_INT
0	gi-108:3323793..3318140_INT
0	gi-88:2322500..2328149_INT
0	gi-23:3725811..3720164_INT
0	gi-24:365704..360057_INT
0	gi-24:3864141..3870383_INT
0	gi-24:1098255..1103890_INT
0	gi-26:1832329..1837965_INT
0	gi-71:874061..879708_INT
0	gi-74:354401..348173_INT
0	gi-24:1737662..1730187_INT
0	gi-10:293906..288269_INT
0	gi-74:240671..246314_INT
0	gi-71:2566510..2560880_INT
0	gi-23:501610..507254_INT
0	gi-23:904014..891489_INT
0	gi-26:950262..949712_LTR
0	gi-26:956595..956045_LTR
0	gi-94:61565..61016_LTR
0	gi-94:67890..67341_LTR
0	gi-143:3275987..3275453_LTR
0	gi-143:3283386..3282858_LTR
0	gi-140:264503..265050_LTR
0	gi-140:270830..271379_LTR
0	gi-108:235393..235940_LTR
0	gi-108:241709..242256_LTR
0	gi-143:407491..408043_LTR
0	gi-143:413829..414381_LTR
0	gi-108:1292827..1292277_LTR
0	gi-108:1299152..1298603_LTR
0	gi-33:2462028..2461489_LTR
0	gi-33:2468462..2467910_LTR
0	gi-26:956044..950263_INT
0	gi-108:235941..241708_INT
0	gi-143:408044..413828_INT
0	gi-108:1298602..1292828_INT
0	gi-94:67340..61566_INT
0	gi-140:265051..270829_INT
0	gi-33:2467909..2462029_INT
0	gi-108:203172..197214_INT
0	gi-33:2445456..2451060_INT
0	gi-34:268611..261641_INT
0	gi-143:3282857..3275988_INT
0	gi-88:21679..16215_INT
0	gi-23:448822..454475_INT
0	gi-24:268145..268367_LTR
0	gi-24:281372..281594_LTR
0	gi-88:2433366..2432803_LTR
0	gi-88:2440774..2440214_LTR
0	gi-108:444888..445445_LTR
0	gi-108:451840..452399_LTR
0	gi-155:316000..316560_LTR
0	gi-155:322366..322926_LTR
0	gi-108:1211539..1212097_LTR
0	gi-108:1225617..1226177_LTR
0	gi-108:1014395..1027046_INT
0	gi-108:1013913..1014394_LTR
0	gi-108:1027047..1027529_LTR
0	gi-143:579781..587629_INT
0	gi-71:1434634..1434835_LTR
0	gi-128:67207..73456_INT
0	gi-143:266746..273002_INT
0	gi-24:3264005..3271408_INT
0	gi-140:2047257..2041612_INT
0	gi-140:2274942..2280584_INT
1	gi-6:368241..375978_INT
1	gi-71:3101244..3095150_INT
2	gi-10:176165..175702_LTR
2	gi-10:182261..181798_LTR
2	gi-89:49300..49763_LTR
2	gi-89:55413..55876_LTR
2	gi-71:2560879..2560416_LTR
2	gi-71:2566974..2566511_LTR
2	gi-24:3637813..3638276_LTR
2	gi-24:3644495..3644958_LTR
2	gi-88:16214..15749_LTR
2	gi-88:22145..21680_LTR
2	gi-143:3722837..3723302_LTR
2	gi-143:3728951..3729416_LTR
2	gi-89:323069..322605_LTR
2	gi-89:329191..328726_LTR
2	gi-88:2515166..2514702_LTR
2	gi-88:2521269..2520803_LTR
2	gi-23:891488..891025_LTR
2	gi-23:904479..904015_LTR
2	gi-128:400358..399892_LTR
2	gi-128:408233..407767_LTR
2	gi-23:3720163..3719700_LTR
2	gi-23:3726275..3725812_LTR
2	gi-143:2309452..2296078_INT
2	gi-10:288268..287785_LTR
2	gi-10:294390..293907_LTR
2	gi-88:2078504..2078021_LTR
2	gi-88:2084643..2084160_LTR
2	gi-143:2026746..2027231_LTR
2	gi-143:2106339..2106822_LTR
2	gi-143:2100213..2100696_LTR
2	gi-143:2032873..2033358_LTR
2	gi-88:2785781..2786263_LTR
2	gi-88:2791914..2792396_LTR
2	gi-108:3302862..3303326_LTR
2	gi-108:3308971..3309435_LTR
2	gi-23:1079419..1078946_LTR
2	gi-23:1085543..1085070_LTR
2	gi-24:1538734..1538251_LTR
2	gi-24:1544865..1544382_LTR
2	gi-24:1097774..1098254_LTR
2	gi-24:1103891..1104371_LTR
2	gi-74:240190..240670_LTR
2	gi-74:246315..246795_LTR
2	gi-71:873577..874060_LTR
2	gi-71:879709..880192_LTR
2	gi-140:1836055..1836537_LTR
2	gi-140:1842879..1843361_LTR
2	gi-140:2041611..2041128_LTR
2	gi-140:2047741..2047258_LTR
2	gi-126:821390..821866_LTR
2	gi-126:827521..827997_LTR
2	gi-143:650637..651122_LTR
2	gi-143:656766..657251_LTR
2	gi-126:449355..448871_LTR
2	gi-126:455492..455008_LTR
2	gi-24:1989064..1989528_LTR
2	gi-24:1996471..1996935_LTR
2	gi-26:1831864..1832328_LTR
2	gi-26:1837966..1838432_LTR
2	gi-33:2444991..2445455_LTR
2	gi-33:2451061..2451524_LTR
2	gi-89:156266..156731_LTR
2	gi-89:162370..162836_LTR
2	gi-140:258964..259428_LTR
