Assembly	hifiasm_hifi_SRR34390379	hifiasm_hifi_SRR34390379_corrected
# fully unaligned contigs	0	0
Fully unaligned length	0	0
# partially unaligned contigs	162	162
Partially unaligned length	25378093	24029156
# N's	0	0
