gi|1044	39481	39617	R=0	-	39524	78	43
gi|1044	38281	38509	R=0	-	38419	75	138
gi|1044	37704	37935	R=0	-	37841	79	137
gi|1044	36828	37057	R=0	-	36963	79	135
gi|1044	35393	35622	R=0	-	35528	79	135
gi|1044	31967	32103	R=0	-	32010	78	43
gi|1044	31113	31342	R=0	-	31248	79	135
gi|1044	23555	23691	R=0	-	23598	78	43
gi|1044	22569	22775	R=0	+	22645	76	115
gi|1044	17757	17983	R=0	-	17894	74	137
gi|1044	13242	13471	R=0	-	13377	79	135
gi|1044	11446	11583	R=0	-	11489	79	43
gi|1044	10542	10768	R=0	-	10679	74	137
gi|1044	7732	7854	R=0	-	7766	73	34
gi|1044	6844	6980	R=0	-	6887	78	43
gi|1044	5747	5951	R=0	-	5862	74	115
gi|1044	4669	4842	R=0	+	4745	76	82
gi|1044	3696	3922	R=0	+	3773	77	134
gi|1044	2571	2707	R=0	+	2649	78	43
gi|1040	16108	16245	R=0	-	16151	79	43
gi|1040	12602	12738	R=0	+	12680	78	43
gi|1040	11469	11698	R=0	-	11604	79	135
gi|1040	9855	10084	R=0	-	9990	79	135
gi|1040	4853	5080	R=0	-	4987	78	134
gi|1040	3769	3940	R=0	+	3843	74	82
gi|1040	3324	3554	R=0	-	3459	80	135
gi|1040	2902	3028	R=0	-	2936	77	34
gi|1040	660	890	R=0	+	740	80	135
gi|1020	32447	32651	R=0	-	32562	74	115
gi|1020	31369	31542	R=0	+	31445	76	82
gi|1020	30396	30622	R=0	+	30473	77	134
gi|1020	29271	29407	R=0	+	29349	78	43
gi|1020	27017	27154	R=0	-	27060	79	43
gi|1020	18901	19023	R=0	-	18935	73	34
gi|1020	17580	17706	R=0	-	17612	79	32
gi|1020	15774	16005	R=0	-	15911	79	137
gi|1020	14792	15020	R=0	-	14926	79	134
gi|1020	8536	8662	R=0	-	8570	77	34
gi|1020	7478	7615	R=0	-	7521	79	43
gi|1020	6313	6506	R=0	-	6415	76	102
gi|1020	5689	5920	R=0	-	5826	79	137
gi|1020	4812	5041	R=0	-	4947	79	135
gi|1020	3377	3606	R=0	-	3513	78	136
gi|1000	25840	25966	R=0	-	25874	77	34
gi|1000	24782	24919	R=0	-	24825	79	43
gi|1000	23576	23804	R=0	-	23713	76	137
gi|1000	22997	23228	R=0	-	23134	79	137
gi|1000	22121	22350	R=0	-	22256	79	135
gi|1000	20686	20915	R=0	-	20821	79	135
gi|1000	17259	17395	R=0	-	17302	78	43
gi|1000	16409	16637	R=0	-	16544	78	135
gi|1000	8886	9022	R=0	-	8929	78	43
gi|1000	7901	8107	R=0	+	7977	76	115
gi|1000	3089	3315	R=0	-	3226	74	137
gi|994	23161	23332	R=0	+	23235	74	82
gi|994	21883	22020	R=0	-	21926	79	43
gi|994	16090	16227	R=0	-	16133	79	43
gi|994	12596	12732	R=0	+	12674	78	43
gi|994	11462	11690	R=0	-	11596	79	134
gi|994	9846	10075	R=0	-	9981	79	135
gi|994	4843	5070	R=0	-	4977	78	134
gi|994	3756	3927	R=0	+	3830	74	82
gi|994	3311	3541	R=0	-	3446	80	135
gi|994	2891	3016	R=0	-	2924	77	33
gi|994	647	877	R=0	+	727	80	135
gi|992	20905	21134	R=0	-	21040	79	135
gi|992	20274	20410	R=0	-	20317	78	43
gi|992	19084	19220	R=0	-	19127	78	43
gi|992	17735	17860	R=0	-	17769	76	34
gi|992	16023	16227	R=0	+	16097	74	115
gi|992	12304	12499	R=0	+	12366	62	118
gi|992	10536	10661	R=0	-	10570	76	34
gi|992	9252	9481	R=0	-	9390	76	138
gi|992	5629	5857	R=0	-	5766	76	137
gi|992	5352	5488	R=0	+	5430	78	43
gi|992	2064	2269	R=0	+	2140	76	114
gi|985	41232	41358	R=0	-	41266	77	34
gi|985	40177	40314	R=0	-	40220	79	43
gi|985	38970	39198	R=0	-	39107	76	137
gi|985	38391	38622	R=0	-	38528	79	137
gi|985	37515	37744	R=0	-	37650	79	135
gi|985	36080	36309	R=0	-	36215	79	135
gi|985	32653	32788	R=0	-	32696	77	43
gi|985	31803	32031	R=0	-	31938	78	135
gi|985	24275	24411	R=0	-	24318	78	43
gi|985	23290	23496	R=0	+	23366	76	115
gi|985	18477	18703	R=0	-	18614	74	137
gi|985	13995	14224	R=0	-	14130	79	135
gi|985	12199	12336	R=0	-	12242	79	43
gi|985	11294	11520	R=0	-	11431	74	137
gi|985	8484	8606	R=0	-	8518	73	34
gi|985	7596	7732	R=0	-	7639	78	43
gi|985	6499	6703	R=0	-	6614	74	115
gi|985	5421	5594	R=0	+	5497	76	82
gi|985	4448	4674	R=0	+	4525	77	134
gi|985	3323	3459	R=0	+	3401	78	43
gi|985	488	700	R=0	+	566	78	119
gi|972	29039	29265	R=0	-	29176	74	137
gi|972	24279	24450	R=0	+	24353	74	82
gi|972	23438	23663	R=0	-	23572	76	134
gi|972	20579	20810	R=0	-	20716	79	137
gi|972	18217	18339	R=0	-	18251	73	34
gi|972	15804	15970	R=0	-	15881	74	77
gi|972	13061	13232	R=0	+	13135	74	82
gi|972	11789	11926	R=0	-	11832	79	43
gi|972	5993	6130	R=0	-	6036	79	43
gi|972	2498	2634	R=0	+	2576	78	43
gi|972	1365	1594	R=0	-	1500	79	135
gi|969	32267	32496	R=0	+	32343	76	138
gi|969	31086	31211	R=0	+	31162	76	34
gi|969	29249	29443	R=0	-	29366	62	117
gi|969	25519	25723	R=0	-	25634	74	115
gi|969	23434	23663	R=0	+	23513	79	135
gi|969	22526	22662	R=0	+	22604	78	43
gi|969	21336	21472	R=0	+	21414	78	43
gi|969	20611	20841	R=0	+	20690	79	136
gi|969	14391	14618	R=0	-	14527	76	136
gi|969	11911	12036	R=0	+	11987	76	34
gi|969	11204	11330	R=0	+	11281	77	34
gi|969	10374	10605	R=0	+	10453	79	137
gi|969	8051	8263	R=0	-	8170	78	119
gi|969	5294	5430	R=0	-	5337	78	43
gi|969	4080	4306	R=0	-	4214	77	134
gi|969	3161	3333	R=0	-	3242	76	81
gi|969	2052	2256	R=0	+	2126	74	115
gi|969	1023	1159	R=0	+	1101	78	43
gi|969	148	270	R=0	+	221	73	34
gi|949	36439	36665	R=0	-	36576	74	137
gi|949	31924	32153	R=0	-	32059	79	135
gi|949	30130	30266	R=0	-	30173	78	43
gi|949	29227	29453	R=0	-	29363	75	136
gi|949	26419	26541	R=0	-	26454	72	35
gi|949	25531	25667	R=0	-	25574	78	43
gi|949	24435	24639	R=0	-	24550	74	115
gi|949	23356	23529	R=0	+	23432	76	82
gi|949	22384	22609	R=0	+	22461	77	133
gi|949	21260	21397	R=0	+	21338	78	44
gi|949	18425	18637	R=0	+	18503	78	119
gi|949	16084	16315	R=0	-	16221	79	137
gi|949	15360	15485	R=0	-	15394	76	34
gi|949	14654	14779	R=0	-	14688	76	34
gi|949	12072	12299	R=0	+	12148	76	136
gi|949	5850	6079	R=0	-	5985	79	135
gi|949	5213	5349	R=0	-	5256	78	43
gi|949	4023	4159	R=0	-	4066	78	43
gi|949	2674	2799	R=0	-	2708	76	34
gi|949	962	1166	R=0	+	1036	74	115
gi|927	33106	33242	R=0	-	33149	78	43
gi|927	31891	32117	R=0	-	32025	77	134
gi|927	30971	31144	R=0	-	31053	76	82
gi|927	29861	30066	R=0	+	29935	74	116
gi|927	28832	28968	R=0	+	28910	78	43
gi|927	27723	27860	R=0	+	27802	79	43
gi|927	25046	25272	R=0	+	25120	74	137
gi|927	24231	24368	R=0	+	24310	79	43
gi|927	22343	22572	R=0	+	22422	79	135
gi|927	17838	18062	R=0	+	17911	73	136
gi|927	12146	12282	R=0	+	12224	78	43
gi|927	4516	4742	R=0	+	4592	76	135
gi|927	3721	3857	R=0	+	3799	78	43
gi|927	201	430	R=0	+	280	79	135
gi|918	46756	46922	R=0	-	46833	74	77
