Assembly	miniasm_nanopore	miniasm_nanopore_illumina
# fully unaligned contigs	686	577
Fully unaligned length	29112908	18481894
# partially unaligned contigs	126	235
Partially unaligned length	36362176	46056359
# N's	0	0
